receipt_number,payment_amount,payment_date,payment_method,contract_number
6252,2485.51,2020-03-20,Credit Card,6252
6253,2442.72,2020-03-09,Bank Transfer,6253
6254,1116.37,2023-11-26,PayPal,6254
6255,788.43,2020-03-01,Bank Transfer,6255
6256,1063.39,2021-05-14,PayPal,6256
6257,1740.32,2022-04-25,Cash,6257
6258,484.47,2022-05-12,Cash,6258
6259,598.99,2022-12-17,Credit Card,6259
6260,362.39,2020-05-06,Credit Card,6260
6261,1256.55,2020-07-23,Credit Card,6261
6262,734.34,2023-03-28,Credit Card,6262
6263,1244.38,2023-07-04,Credit Card,6263
6264,1206.59,2020-11-27,Bank Transfer,6264
6265,2131.69,2023-10-09,Cash,6265
6266,2125.84,2023-03-16,Bank Transfer,6266
6267,331.25,2023-07-31,Credit Card,6267
6268,1077.13,2022-11-12,Credit Card,6268
6269,2377.4,2022-03-02,Cash,6269
6270,2116.59,2022-05-06,Cash,6270
6271,390.74,2020-04-23,Credit Card,6271
6272,1899.54,2020-02-23,Credit Card,6272
6273,1433.95,2020-12-03,Bank Transfer,6273
6274,1058.79,2022-03-18,Bank Transfer,6274
6275,2007.33,2020-03-25,Credit Card,6275
6276,2041.18,2022-03-22,Credit Card,6276
6277,657.45,2020-03-29,Bank Transfer,6277
6278,1502.36,2023-03-16,PayPal,6278
6279,662.52,2020-11-16,Bank Transfer,6279
6280,531.84,2023-09-12,Cash,6280
6281,781.62,2022-03-27,Cash,6281
6282,1168.43,2023-01-25,Bank Transfer,6282
6283,201.0,2023-09-24,Credit Card,6283
6284,1394.77,2021-12-27,Credit Card,6284
6285,753.97,2022-09-25,Credit Card,6285
6286,732.88,2020-04-30,Bank Transfer,6286
6287,1583.13,2022-06-03,PayPal,6287
6288,2783.17,2022-09-29,PayPal,6288
6289,1720.94,2021-11-16,PayPal,6289
6290,663.0,2020-06-07,Credit Card,6290
6291,2684.12,2023-11-05,Bank Transfer,6291
6292,1943.39,2023-08-20,Credit Card,6292
6293,745.55,2023-12-14,PayPal,6293
6294,2349.91,2022-08-16,PayPal,6294
6295,2644.24,2022-11-07,Credit Card,6295
6296,1129.51,2020-10-22,Credit Card,6296
6297,2850.49,2021-12-02,Credit Card,6297
6298,1284.1,2020-05-20,Bank Transfer,6298
6299,1020.53,2022-04-21,PayPal,6299
6300,1393.74,2021-01-23,Bank Transfer,6300
6301,152.35,2022-08-19,Cash,6301
6302,1598.23,2023-07-23,Bank Transfer,6302
6303,449.13,2022-01-27,Bank Transfer,6303
6304,2421.88,2021-03-29,Cash,6304
6305,947.49,2020-03-30,Bank Transfer,6305
6306,591.6,2023-11-17,PayPal,6306
6307,885.08,2022-06-12,Cash,6307
6308,1614.11,2021-01-30,Bank Transfer,6308
6309,2467.03,2023-07-02,PayPal,6309
6310,2551.14,2022-05-18,Credit Card,6310
6311,1672.86,2022-08-08,Bank Transfer,6311
6312,2805.68,2022-01-08,PayPal,6312
6313,2146.49,2023-12-30,Credit Card,6313
6314,1800.89,2022-11-23,Bank Transfer,6314
6315,2158.1,2023-07-27,Credit Card,6315
6316,184.59,2023-11-15,Cash,6316
6317,2340.0,2023-12-29,PayPal,6317
6318,1823.36,2020-01-18,Bank Transfer,6318
6319,1468.99,2022-01-14,PayPal,6319
6320,2336.35,2023-12-22,Credit Card,6320
6321,2940.61,2023-12-17,Credit Card,6321
6322,2079.33,2020-09-01,Credit Card,6322
6323,2194.85,2022-01-01,Cash,6323
6324,2379.94,2022-01-18,Cash,6324
6325,567.3,2023-10-13,Credit Card,6325
6326,2222.16,2020-08-04,Cash,6326
6327,2435.88,2021-10-20,Credit Card,6327
6328,1847.97,2021-04-20,Credit Card,6328
6329,215.31,2023-03-27,Credit Card,6329
6330,1281.36,2021-05-10,Credit Card,6330
6331,199.37,2023-03-05,PayPal,6331
6332,1166.99,2022-11-11,Bank Transfer,6332
6333,1946.38,2022-04-11,Credit Card,6333
6334,2221.79,2022-05-10,Bank Transfer,6334
6335,1200.44,2020-06-17,Bank Transfer,6335
6336,155.25,2020-02-23,Bank Transfer,6336
6337,341.13,2022-08-06,PayPal,6337
6338,2726.89,2020-05-19,PayPal,6338
6339,2963.04,2023-01-11,Cash,6339
6340,1607.96,2021-01-06,PayPal,6340
6341,1476.77,2023-03-11,Cash,6341
6342,194.94,2020-12-20,PayPal,6342
6343,1428.69,2020-11-05,Bank Transfer,6343
6344,814.98,2020-03-18,Bank Transfer,6344
6345,2484.83,2021-06-24,PayPal,6345
6346,1812.43,2023-03-15,Bank Transfer,6346
6347,1155.69,2023-10-13,PayPal,6347
6348,2245.11,2023-04-24,Credit Card,6348
6349,2180.53,2022-07-12,PayPal,6349
6350,1427.93,2021-07-31,Bank Transfer,6350
6351,2344.82,2021-03-02,Credit Card,6351
6352,869.93,2020-03-24,Cash,6352
6353,2715.55,2022-09-25,PayPal,6353
6354,2042.04,2020-03-10,Credit Card,6354
6355,1907.51,2021-10-19,Credit Card,6355
6356,1905.46,2021-07-15,Bank Transfer,6356
6357,959.07,2020-08-25,Cash,6357
6358,1115.79,2022-03-01,Cash,6358
6359,2921.5,2020-03-19,Credit Card,6359
6360,913.41,2020-03-07,Credit Card,6360
6361,1658.18,2021-11-18,Credit Card,6361
6362,569.31,2020-07-12,PayPal,6362
6363,1542.5,2020-09-21,PayPal,6363
6364,2913.22,2022-01-10,Credit Card,6364
6365,1362.52,2023-07-18,Credit Card,6365
6366,1841.75,2023-03-18,Cash,6366
6367,1236.93,2023-06-24,Credit Card,6367
6368,1213.96,2021-07-22,Bank Transfer,6368
6369,420.29,2020-09-05,Cash,6369
6370,387.29,2022-08-29,Credit Card,6370
6371,1996.41,2023-10-15,Bank Transfer,6371
6372,894.77,2022-01-10,Bank Transfer,6372
6373,2446.05,2021-04-19,PayPal,6373
6374,623.55,2023-07-02,Bank Transfer,6374
6375,266.98,2020-10-16,Bank Transfer,6375
6376,822.68,2023-12-31,Credit Card,6376
6377,2057.78,2022-07-03,PayPal,6377
6378,1001.41,2023-07-13,Credit Card,6378
6379,2128.53,2020-12-18,Cash,6379
6380,1960.65,2022-06-20,Cash,6380
6381,2064.61,2022-02-24,PayPal,6381
6382,858.33,2021-01-29,Bank Transfer,6382
6383,1916.6,2023-01-06,Credit Card,6383
6384,2225.31,2023-02-13,Credit Card,6384
6385,1063.61,2021-10-24,PayPal,6385
6386,962.49,2023-08-29,Cash,6386
6387,556.13,2021-08-12,Credit Card,6387
6388,2867.33,2023-05-19,Cash,6388
6389,361.98,2021-07-24,Bank Transfer,6389
6390,509.54,2021-09-19,Bank Transfer,6390
6391,1888.98,2020-04-08,PayPal,6391
6392,379.17,2020-04-06,Credit Card,6392
6393,768.0,2020-05-24,PayPal,6393
6394,2077.45,2020-04-17,Bank Transfer,6394
6395,109.37,2022-12-30,Cash,6395
6396,618.22,2020-10-09,Cash,6396
6397,1278.22,2021-10-23,Bank Transfer,6397
6398,1325.35,2022-12-02,Cash,6398
6399,153.4,2022-03-06,Credit Card,6399
6400,2562.16,2022-09-16,PayPal,6400
6401,274.8,2023-03-17,Cash,6401
6402,1019.49,2023-05-13,PayPal,6402
6403,671.14,2022-10-22,Cash,6403
6404,1341.19,2021-04-15,Credit Card,6404
6405,1316.25,2022-10-12,Cash,6405
6406,738.05,2020-07-18,Bank Transfer,6406
6407,2293.78,2021-10-08,PayPal,6407
6408,2146.56,2020-02-27,PayPal,6408
6409,2857.58,2022-12-14,Cash,6409
6410,1553.06,2023-12-03,PayPal,6410
6411,1869.79,2023-02-22,PayPal,6411
6412,1115.59,2022-08-20,PayPal,6412
6413,1480.67,2021-03-10,Credit Card,6413
6414,1542.12,2023-03-05,Credit Card,6414
6415,1133.4,2021-06-25,Bank Transfer,6415
6416,2761.09,2023-06-23,Credit Card,6416
6417,1554.73,2021-06-06,Credit Card,6417
6418,1485.8,2021-03-23,PayPal,6418
6419,1626.62,2023-04-11,Cash,6419
6420,1077.46,2023-10-21,PayPal,6420
6421,136.08,2022-11-14,PayPal,6421
6422,303.2,2022-02-03,Cash,6422
6423,1436.24,2021-07-04,Cash,6423
6424,989.16,2022-09-14,Bank Transfer,6424
6425,2727.26,2020-09-03,Cash,6425
6426,2820.55,2022-08-10,Credit Card,6426
6427,1961.56,2021-05-16,Cash,6427
6428,1736.59,2020-02-27,Cash,6428
6429,1571.15,2023-12-25,PayPal,6429
6430,415.38,2022-02-13,Cash,6430
6431,2349.17,2020-07-27,Bank Transfer,6431
6432,1102.6,2023-06-17,Cash,6432
6433,2278.38,2023-03-17,Cash,6433
6434,2706.2,2022-05-17,Cash,6434
6435,2754.21,2022-12-30,PayPal,6435
6436,1985.5,2023-08-23,Bank Transfer,6436
6437,1199.41,2020-08-20,Bank Transfer,6437
6438,1246.96,2021-09-09,Bank Transfer,6438
6439,166.93,2020-07-16,Credit Card,6439
6440,156.38,2022-08-23,Bank Transfer,6440
6441,2873.97,2021-05-11,Bank Transfer,6441
6442,2470.85,2020-03-06,Credit Card,6442
6443,1817.64,2020-03-06,Cash,6443
6444,2349.87,2023-08-06,Bank Transfer,6444
6445,317.7,2021-02-10,Cash,6445
6446,2083.56,2021-07-28,Credit Card,6446
6447,907.47,2023-04-03,Cash,6447
6448,2116.61,2020-04-06,Credit Card,6448
6449,2766.17,2020-06-14,Bank Transfer,6449
6450,1068.99,2022-04-07,Bank Transfer,6450
6451,691.03,2021-05-07,Cash,6451
6452,1608.96,2020-09-05,PayPal,6452
6453,2451.57,2023-01-02,Bank Transfer,6453
6454,2086.23,2023-11-06,Cash,6454
6455,733.24,2023-07-23,PayPal,6455
6456,1574.37,2023-01-27,Bank Transfer,6456
6457,2559.65,2023-10-04,Bank Transfer,6457
6458,406.46,2021-06-11,Cash,6458
6459,250.42,2020-03-03,PayPal,6459
6460,2031.25,2022-01-29,PayPal,6460
6461,1263.51,2023-01-22,PayPal,6461
6462,2758.26,2021-09-10,Bank Transfer,6462
6463,1483.32,2023-12-26,PayPal,6463
6464,1145.34,2023-03-09,Bank Transfer,6464
6465,479.01,2023-10-31,Credit Card,6465
6466,1318.06,2020-03-01,Credit Card,6466
6467,955.46,2020-04-28,Bank Transfer,6467
6468,861.06,2021-02-14,Cash,6468
6469,1310.12,2023-07-11,PayPal,6469
6470,2716.34,2022-05-28,Cash,6470
6471,2771.42,2022-02-18,Credit Card,6471
6472,1673.72,2023-01-13,Bank Transfer,6472
6473,2029.1,2020-01-07,Cash,6473
6474,1497.7,2021-01-02,Cash,6474
6475,2733.99,2023-05-23,PayPal,6475
6476,314.04,2022-09-25,Credit Card,6476
6477,1501.25,2021-10-02,PayPal,6477
6478,2684.04,2023-12-22,Credit Card,6478
6479,1601.09,2023-11-17,Credit Card,6479
6480,2454.87,2021-07-12,Bank Transfer,6480
6481,330.13,2021-10-10,Bank Transfer,6481
6482,789.95,2020-12-28,Bank Transfer,6482
6483,666.71,2020-10-02,PayPal,6483
6484,2580.2,2021-05-15,Cash,6484
6485,866.84,2022-07-22,PayPal,6485
6486,1063.47,2022-10-02,Cash,6486
6487,2475.88,2023-05-26,Bank Transfer,6487
6488,2192.91,2020-06-20,PayPal,6488
6489,2369.26,2021-02-03,Credit Card,6489
6490,726.9,2022-08-05,PayPal,6490
6491,729.01,2022-12-19,Cash,6491
6492,660.37,2023-08-22,Cash,6492
6493,2066.07,2022-12-12,Cash,6493
6494,1939.51,2020-05-16,Bank Transfer,6494
6495,169.15,2020-11-20,Cash,6495
6496,642.51,2021-05-22,PayPal,6496
6497,2775.45,2023-01-13,Credit Card,6497
6498,2343.73,2023-05-19,Credit Card,6498
6499,1251.73,2023-12-26,Cash,6499
6500,941.91,2023-10-12,Bank Transfer,6500
6501,2517.42,2021-04-27,PayPal,6501
6502,317.37,2023-04-14,Credit Card,6502
6503,2547.7,2021-01-29,Bank Transfer,6503
6504,1078.64,2022-08-17,Cash,6504
6505,2836.92,2020-07-20,Cash,6505
6506,2541.48,2022-03-23,Credit Card,6506
6507,2406.79,2021-03-10,PayPal,6507
6508,1843.22,2022-05-18,PayPal,6508
6509,1760.14,2020-02-03,Cash,6509
6510,2809.63,2022-10-20,Bank Transfer,6510
6511,1472.32,2023-01-17,PayPal,6511
6512,2108.53,2020-06-24,Credit Card,6512
6513,1295.52,2021-10-29,Bank Transfer,6513
6514,181.5,2023-08-08,PayPal,6514
6515,2812.56,2021-09-27,Credit Card,6515
6516,550.08,2022-04-30,Cash,6516
6517,2137.0,2023-03-23,Cash,6517
6518,253.66,2021-05-16,Cash,6518
6519,1426.49,2021-12-22,Bank Transfer,6519
6520,1452.2,2022-04-25,PayPal,6520
6521,2969.94,2023-10-08,Cash,6521
6522,2696.17,2022-08-26,Bank Transfer,6522
6523,404.7,2021-01-03,Cash,6523
6524,1209.24,2022-10-11,PayPal,6524
6525,1716.1,2021-01-08,Cash,6525
6526,566.91,2023-03-13,Cash,6526
6527,2792.65,2022-03-17,PayPal,6527
6528,133.37,2022-02-20,Credit Card,6528
6529,1147.34,2020-11-24,PayPal,6529
6530,2796.62,2020-05-24,Credit Card,6530
6531,1752.08,2020-03-28,Credit Card,6531
6532,2515.55,2023-05-01,Cash,6532
6533,220.72,2023-02-05,Cash,6533
6534,334.98,2020-01-21,Bank Transfer,6534
6535,2233.09,2023-08-16,Credit Card,6535
6536,2297.46,2022-11-10,Cash,6536
6537,2751.3,2023-01-27,Bank Transfer,6537
6538,2232.3,2020-09-01,Cash,6538
6539,331.17,2020-09-18,Credit Card,6539
6540,1798.89,2023-06-28,PayPal,6540
6541,2433.96,2023-03-09,Cash,6541
6542,565.7,2022-06-10,Credit Card,6542
6543,219.52,2023-12-10,Cash,6543
6544,1554.78,2023-10-15,Credit Card,6544
6545,2688.27,2023-11-08,PayPal,6545
6546,2968.39,2023-10-06,Credit Card,6546
6547,1981.09,2022-03-11,Bank Transfer,6547
6548,2902.81,2023-09-19,Credit Card,6548
6549,1831.26,2022-05-10,Bank Transfer,6549
6550,255.02,2021-12-12,PayPal,6550
6551,1787.01,2020-07-04,Credit Card,6551
6552,1219.91,2020-05-13,PayPal,6552
6553,857.53,2023-01-02,PayPal,6553
6554,208.46,2022-06-01,PayPal,6554
6555,874.53,2021-04-10,Cash,6555
6556,1938.27,2023-02-01,PayPal,6556
6557,1675.75,2020-02-21,Cash,6557
6558,2559.74,2022-08-15,Bank Transfer,6558
6559,865.6,2022-11-08,Bank Transfer,6559
6560,856.24,2020-12-18,PayPal,6560
6561,310.64,2023-05-18,PayPal,6561
6562,2170.33,2020-07-27,Bank Transfer,6562
6563,2840.82,2020-08-18,PayPal,6563
6564,1030.51,2023-04-25,Cash,6564
6565,1798.79,2023-12-14,Credit Card,6565
6566,1273.57,2020-08-04,PayPal,6566
6567,1657.11,2023-12-02,PayPal,6567
6568,1652.79,2022-07-30,Bank Transfer,6568
6569,2628.95,2021-03-21,Cash,6569
6570,1526.96,2022-05-27,Credit Card,6570
6571,753.01,2020-12-28,PayPal,6571
6572,1136.12,2020-06-08,Credit Card,6572
6573,2352.72,2023-05-17,PayPal,6573
6574,2982.98,2023-01-17,Bank Transfer,6574
6575,2737.12,2021-02-23,Credit Card,6575
6576,2957.88,2020-07-05,Credit Card,6576
6577,581.38,2023-06-11,Cash,6577
6578,2320.21,2020-01-22,Credit Card,6578
6579,2711.14,2022-11-09,Bank Transfer,6579
6580,961.1,2022-09-06,Bank Transfer,6580
6581,889.98,2021-06-01,PayPal,6581
6582,929.96,2020-03-22,PayPal,6582
6583,1209.16,2023-06-04,Credit Card,6583
6584,2896.25,2023-08-18,Cash,6584
6585,2279.41,2022-05-07,Credit Card,6585
6586,2212.57,2022-05-14,Bank Transfer,6586
6587,2457.3,2020-02-25,PayPal,6587
6588,632.35,2023-10-01,Cash,6588
6589,108.06,2020-03-04,Cash,6589
6590,2481.99,2021-06-27,PayPal,6590
6591,2884.33,2023-11-21,Credit Card,6591
6592,1006.85,2023-05-10,PayPal,6592
6593,323.1,2023-07-11,Credit Card,6593
6594,2366.78,2023-06-01,Credit Card,6594
6595,296.36,2022-03-23,PayPal,6595
6596,959.77,2020-04-22,Cash,6596
6597,179.84,2023-03-11,PayPal,6597
6598,2045.87,2023-10-14,Bank Transfer,6598
6599,1640.27,2021-10-30,Cash,6599
6600,1052.22,2020-12-26,Bank Transfer,6600
6601,1855.95,2022-10-13,Credit Card,6601
6602,1996.17,2022-08-14,PayPal,6602
6603,2970.23,2021-10-28,Bank Transfer,6603
6604,2996.67,2023-04-02,Credit Card,6604
6605,1237.87,2020-03-13,Cash,6605
6606,1932.41,2023-01-19,PayPal,6606
6607,175.79,2020-01-11,Credit Card,6607
6608,1368.69,2022-12-27,Cash,6608
6609,653.36,2020-07-04,Cash,6609
6610,2463.53,2020-10-09,Bank Transfer,6610
6611,665.92,2020-02-12,Credit Card,6611
6612,993.65,2021-07-17,Cash,6612
6613,1209.84,2021-10-01,Cash,6613
6614,1530.9,2020-06-24,Cash,6614
6615,1983.29,2021-09-15,Credit Card,6615
6616,1464.58,2023-10-27,Credit Card,6616
6617,2646.32,2021-07-08,Cash,6617
6618,2885.53,2022-05-26,Bank Transfer,6618
6619,461.92,2021-11-05,Bank Transfer,6619
6620,2277.83,2023-09-29,PayPal,6620
6621,1567.19,2020-03-22,Credit Card,6621
6622,1532.33,2020-09-21,Bank Transfer,6622
6623,1753.09,2023-08-20,Cash,6623
6624,1186.78,2020-11-25,PayPal,6624
6625,2009.85,2021-10-09,Bank Transfer,6625
6626,1229.8,2021-06-03,PayPal,6626
6627,2601.76,2021-06-28,Credit Card,6627
6628,1634.89,2020-10-23,PayPal,6628
6629,2791.56,2021-12-24,Bank Transfer,6629
6630,1917.44,2020-12-09,Bank Transfer,6630
6631,324.9,2023-10-27,Credit Card,6631
6632,1776.04,2023-10-12,Credit Card,6632
6633,1667.7,2023-06-08,PayPal,6633
6634,1260.18,2020-12-06,Cash,6634
6635,351.81,2023-03-23,Bank Transfer,6635
6636,2496.79,2023-07-02,Credit Card,6636
6637,2530.83,2023-07-19,Credit Card,6637
6638,1151.62,2022-07-08,Cash,6638
6639,2614.71,2023-12-18,Credit Card,6639
6640,1539.26,2020-11-13,PayPal,6640
6641,1280.12,2021-03-25,PayPal,6641
6642,2179.81,2020-06-19,Bank Transfer,6642
6643,2971.0,2022-11-14,Credit Card,6643
6644,896.83,2021-11-28,Cash,6644
6645,1602.45,2021-07-09,Bank Transfer,6645
6646,1989.56,2022-11-03,Cash,6646
6647,2590.47,2022-01-24,Credit Card,6647
6648,2515.63,2020-01-23,Bank Transfer,6648
6649,1120.22,2021-11-04,Credit Card,6649
6650,1917.94,2022-02-02,Bank Transfer,6650
6651,2411.79,2021-10-25,PayPal,6651
6652,1755.05,2022-03-19,PayPal,6652
6653,1076.86,2020-01-11,Cash,6653
6654,1193.9,2023-12-11,Credit Card,6654
6655,1720.48,2023-09-16,Cash,6655
6656,1533.08,2023-10-06,Bank Transfer,6656
6657,2676.69,2023-01-13,Bank Transfer,6657
6658,2881.4,2022-05-24,PayPal,6658
6659,1516.97,2023-12-15,Cash,6659
6660,1250.89,2020-01-12,Bank Transfer,6660
6661,497.1,2023-12-11,Cash,6661
6662,922.57,2023-01-18,Cash,6662
6663,2081.18,2020-09-08,PayPal,6663
6664,2744.83,2020-05-05,PayPal,6664
6665,2063.09,2020-05-04,Credit Card,6665
6666,584.11,2020-09-19,Cash,6666
6667,2859.82,2023-05-17,Cash,6667
6668,1105.66,2022-03-31,PayPal,6668
6669,434.71,2021-10-20,PayPal,6669
6670,690.01,2023-11-21,Credit Card,6670
6671,1209.83,2020-02-15,Bank Transfer,6671
6672,2210.99,2022-11-08,Bank Transfer,6672
6673,1549.28,2020-10-03,Bank Transfer,6673
6674,205.27,2022-09-06,Bank Transfer,6674
6675,2522.25,2023-10-28,PayPal,6675
6676,2444.82,2021-03-28,Cash,6676
6677,940.67,2022-09-27,PayPal,6677
6678,2639.56,2020-07-18,Bank Transfer,6678
6679,2244.06,2022-04-02,Cash,6679
6680,2098.14,2023-01-23,PayPal,6680
6681,585.4,2021-01-28,Credit Card,6681
6682,1655.03,2022-11-03,Bank Transfer,6682
6683,875.67,2020-05-28,PayPal,6683
6684,2650.08,2022-03-30,Bank Transfer,6684
6685,133.34,2023-07-03,Bank Transfer,6685
6686,1906.14,2023-03-15,Cash,6686
6687,140.53,2020-08-31,Cash,6687
6688,1423.35,2020-12-09,Credit Card,6688
6689,277.91,2021-12-18,Credit Card,6689
6690,2575.59,2021-07-19,Cash,6690
6691,145.97,2023-11-29,Bank Transfer,6691
6692,1910.32,2020-02-06,Cash,6692
6693,2458.35,2023-12-24,Cash,6693
6694,578.41,2023-02-03,Cash,6694
6695,1699.73,2020-02-17,Cash,6695
6696,1239.85,2020-04-23,PayPal,6696
6697,441.8,2020-02-15,Bank Transfer,6697
6698,1417.31,2022-03-19,Cash,6698
6699,342.64,2020-06-11,PayPal,6699
6700,1386.78,2020-01-22,Credit Card,6700
6701,2288.54,2020-07-02,Bank Transfer,6701
6702,2476.15,2021-03-15,Credit Card,6702
6703,2817.64,2020-09-18,PayPal,6703
6704,1225.51,2023-09-25,PayPal,6704
6705,643.0,2023-05-26,Cash,6705
6706,2742.34,2020-07-05,Credit Card,6706
6707,2063.21,2021-12-01,Cash,6707
6708,2475.45,2020-02-16,Cash,6708
6709,2067.38,2023-09-26,Bank Transfer,6709
6710,2942.04,2022-12-14,Bank Transfer,6710
6711,1620.34,2023-07-10,Credit Card,6711
6712,1372.75,2021-12-18,Credit Card,6712
6713,775.97,2021-03-08,PayPal,6713
6714,2485.28,2022-12-11,Credit Card,6714
6715,2261.71,2022-12-21,Cash,6715
6716,1568.8,2022-05-16,Cash,6716
6717,571.92,2020-09-19,Cash,6717
6718,2517.96,2022-04-22,Credit Card,6718
6719,1783.44,2022-01-09,Bank Transfer,6719
6720,2799.34,2023-12-11,PayPal,6720
6721,386.68,2020-07-23,PayPal,6721
6722,2933.45,2020-04-30,PayPal,6722
6723,2661.55,2023-08-28,PayPal,6723
6724,2949.48,2020-07-18,PayPal,6724
6725,1175.18,2020-02-09,Credit Card,6725
6726,1818.37,2020-08-04,PayPal,6726
6727,2092.59,2022-08-25,Credit Card,6727
6728,154.14,2020-04-24,Credit Card,6728
6729,1410.96,2022-11-13,PayPal,6729
6730,2670.08,2020-01-21,PayPal,6730
6731,1888.16,2022-05-18,PayPal,6731
6732,2028.17,2022-12-08,Bank Transfer,6732
6733,900.79,2022-10-20,Bank Transfer,6733
6734,719.88,2022-11-25,Bank Transfer,6734
6735,368.71,2020-01-04,Credit Card,6735
6736,2580.38,2020-04-07,Cash,6736
6737,183.02,2020-06-15,PayPal,6737
6738,1564.48,2021-02-20,PayPal,6738
6739,2343.89,2021-07-01,PayPal,6739
6740,1448.46,2021-11-18,PayPal,6740
6741,2269.19,2022-01-10,Bank Transfer,6741
6742,1009.38,2020-10-29,Credit Card,6742
6743,2128.32,2020-04-08,Cash,6743
6744,1503.52,2020-01-11,PayPal,6744
6745,503.63,2023-01-10,PayPal,6745
6746,824.58,2022-01-26,Cash,6746
6747,932.99,2022-09-10,Cash,6747
6748,2255.62,2020-06-27,Credit Card,6748
6749,2938.31,2020-11-23,Credit Card,6749
6750,433.92,2022-11-15,Cash,6750
6751,2270.3,2020-02-25,Bank Transfer,6751
6752,421.54,2023-04-17,Bank Transfer,6752
6753,1038.02,2022-08-26,Cash,6753
6754,227.93,2021-10-02,Bank Transfer,6754
6755,427.68,2023-05-30,Credit Card,6755
6756,1061.08,2022-12-17,Bank Transfer,6756
6757,2610.56,2020-02-15,Cash,6757
6758,2109.23,2023-09-11,PayPal,6758
6759,1775.62,2021-01-01,Credit Card,6759
6760,1960.75,2020-09-26,PayPal,6760
6761,1893.05,2023-09-08,PayPal,6761
6762,1892.66,2022-08-29,Credit Card,6762
6763,1884.82,2021-08-31,Bank Transfer,6763
6764,2264.53,2022-03-18,Bank Transfer,6764
6765,342.22,2022-12-13,Bank Transfer,6765
6766,1506.92,2023-11-07,Cash,6766
6767,1441.31,2020-08-01,Cash,6767
6768,1955.56,2023-08-03,Credit Card,6768
6769,853.75,2020-10-06,Bank Transfer,6769
6770,287.15,2022-05-27,Credit Card,6770
6771,589.87,2022-05-21,Cash,6771
6772,1242.4,2022-08-19,PayPal,6772
6773,2847.06,2020-10-14,PayPal,6773
6774,676.07,2020-06-25,PayPal,6774
6775,269.69,2021-07-30,Credit Card,6775
6776,2048.75,2020-02-15,Bank Transfer,6776
6777,414.28,2020-06-03,Bank Transfer,6777
6778,2096.44,2022-11-14,Bank Transfer,6778
6779,2853.43,2022-08-10,Credit Card,6779
6780,2450.16,2022-03-01,Credit Card,6780
6781,867.99,2021-02-03,Credit Card,6781
6782,1415.72,2020-04-17,Credit Card,6782
6783,521.01,2021-09-22,Bank Transfer,6783
6784,912.29,2023-09-10,Credit Card,6784
6785,2123.08,2022-02-20,Credit Card,6785
6786,1546.35,2020-03-15,PayPal,6786
6787,2052.37,2021-03-03,Credit Card,6787
6788,2513.26,2020-11-06,Cash,6788
6789,1607.23,2023-09-10,Cash,6789
6790,289.71,2021-12-05,PayPal,6790
6791,1036.46,2021-12-31,PayPal,6791
6792,1026.73,2023-02-16,Bank Transfer,6792
6793,1220.34,2023-02-16,Bank Transfer,6793
6794,1771.65,2022-12-10,Cash,6794
6795,2667.24,2021-04-20,Cash,6795
6796,1724.27,2021-07-19,Credit Card,6796
6797,2196.06,2023-05-08,Bank Transfer,6797
6798,887.74,2023-08-11,Cash,6798
6799,2168.87,2023-06-25,Credit Card,6799
6800,2051.01,2020-10-26,PayPal,6800
6801,2470.59,2022-04-27,Bank Transfer,6801
6802,1326.41,2023-07-17,PayPal,6802
6803,1013.25,2020-03-01,PayPal,6803
6804,2100.42,2023-04-06,Credit Card,6804
6805,1730.55,2022-04-18,Credit Card,6805
6806,2157.55,2021-12-31,Cash,6806
6807,142.27,2020-01-05,Credit Card,6807
6808,283.98,2021-06-05,Cash,6808
6809,792.91,2020-07-26,Bank Transfer,6809
6810,1806.42,2023-04-09,Bank Transfer,6810
6811,2652.75,2022-01-22,Bank Transfer,6811
6812,635.29,2020-09-02,Cash,6812
6813,1408.1,2020-11-14,Bank Transfer,6813
6814,2126.86,2023-06-26,PayPal,6814
6815,1615.84,2020-04-04,Cash,6815
6816,2345.05,2022-07-07,Credit Card,6816
6817,835.05,2020-04-12,Cash,6817
6818,1517.49,2022-05-05,Bank Transfer,6818
6819,2287.84,2020-09-17,PayPal,6819
6820,1616.19,2020-08-09,Cash,6820
6821,194.41,2022-03-23,Cash,6821
6822,843.35,2023-02-11,Cash,6822
6823,495.51,2022-05-19,Credit Card,6823
6824,2920.16,2023-04-27,Credit Card,6824
6825,963.93,2020-01-26,Bank Transfer,6825
6826,2802.64,2022-08-23,Bank Transfer,6826
6827,1506.25,2021-01-03,Bank Transfer,6827
6828,1549.35,2020-12-29,Bank Transfer,6828
6829,1126.25,2023-01-23,Credit Card,6829
6830,241.33,2020-12-09,PayPal,6830
6831,2488.34,2022-11-07,Bank Transfer,6831
6832,1337.82,2021-06-26,PayPal,6832
6833,559.36,2020-02-16,PayPal,6833
6834,710.2,2021-02-01,Bank Transfer,6834
6835,371.0,2023-12-22,Bank Transfer,6835
6836,1423.79,2020-01-04,Cash,6836
6837,2218.92,2022-11-07,PayPal,6837
6838,1796.99,2021-06-27,PayPal,6838
6839,1715.61,2021-01-08,Credit Card,6839
6840,984.71,2021-02-26,PayPal,6840
6841,1052.67,2020-09-05,Cash,6841
6842,2668.56,2020-01-08,PayPal,6842
6843,2130.14,2021-01-09,Credit Card,6843
6844,1881.92,2022-08-24,Cash,6844
6845,1855.78,2020-11-27,PayPal,6845
6846,1892.59,2020-09-06,Bank Transfer,6846
